Frito Lay Poland 	689
CH2M	688
Grupa Akcja Job	687
Maspex	686
Orange Polska 	685
DHL Parcel	684
Eurocash Franczyza	683
Duon Sprzedaż sp. z o.o.	682
Aspiro S.A.	680
XL Tape-International Sp. z o.o.	680
About You.Pl Sp. z o.o.	679
Thomson Reuters	679
LINK Sp. z o.o.	678
Experis	677
F.L. Polska Sp. z o.o.	677
Roche Polska Sp. z o.o.	676
AXA	671
Grupa Nowy Styl 	671
TELL Sp. z o.o.	670
ABC-Czepczyński Sp.z o.o. Sp.k	669
NIELSEN	669
Formanway	668
Nationale-Nederlanden 	668
Weegree 	668
Accenture Strategy	662
Energomix Sp. z o.o.	662
VIAMIND Sp. z o.o.	662
EUVIC Sp. z o.o	658
Samsung Electronics Polska	657
Ship Center	656
InPost S.A. 	655
PROVIDENT Polska	655
Mars Polska Sp. z o.o.	654
Nauczycielska Agencja Ubezpieczeniowa S.A.	654
BIGRAM S.A.	653
Radfarm Spółka z ograniczoną odpowiedzialnością Sp.k.	653
TextilMarket	652
Altkom Akademia S.A.	650
CASTORAMA POLSKA	650
QIAGEN BUSINESS SERVICES 	650
Top Secret	645
Sephora Polska Sp. z o.o.	644
AVON	643
FedEx Express	643
StepStone Services Sp. z o.o.	643
PPG Industries Poland	642
Whoohoo Poland Sp. z o.o.	642
Roos Spedition Sp.z.o.o.	637
Przedsiębiorstwo Dystrybucji Farmaceutycznej SLAWEX” Sp. z o.o.	636
3W Dystrybucja Budowlana S.A.	635
FedEx Express Polska Sp. z o. o. 	634
Solid Bridge Solutions Sp. z o.o.	631
Quad\Graphics Europe Sp. z o.o. 	630
OBI Market Budowlany	628
Infosys Poland Sp. z o.o.	626
Rainbow Tours S.A.	622
INEA S.A.	621
Nowa Era sp. z o.o.	621
Reed Global	620
In-tech Rusztowania Sp. Z o.o.	618
PEKABEX	617
Randstad Polska (Oddział Gdańsk)	617
FM Bank PBP S.A.	615
Trans.eu	614
MKM Support	612
Exact Systems S.A.	611
Idea Leasing S.A.	608
Nordea IT	606
PeekCloppenburg Sp. z o.o.  	604
Tieto Poland Sp. z o.o.	603
Target PRO	601
Skanska S.A.	600
Cyfrowy Polsat S.A.	599
Grupa Ubezpieczeniowa UNIQA	599
ZF Group	599
PKN ORLEN S.A.	598
VAN GRAAF GmbH Sp.k.	598
Randstad Polska (Oddział Warszawa Mokotów)	597
CPL Integrated Services	596
EMPIK Spółka Akcyjna	596
New Yorker	595
Flextronics International Poland Sp. z o.o.	594
JYSK Sp z o.o.	592
Inicjatywa Mikro	591
ACS Słuchmed Sp. z o.o.	589
Grupa CIECH	588
Onninen Sp. z o. o.	588
LIBRA EUROPE	585
CEDC International Sp. z o.o. 	583
WINKELMANN Sp. z o.o.	582
mLingua Sp. z o.o.	582
CORNING OPTICAL COMMUNICATIONS POLSKA SP. Z O.O.	581
ZeroChaos Sp. z o.o.	580
UTC AEROSPACE SYSTEMS 	578
Berlitz Poland	576
Balex Metal Sp. z o.o.  	575
PROFI CREDIT POLSKA S.A.	573
Eurocash Serwis Sp. z o.o.	572
Ericsson	570
PwC Service Delivery Center	570
PKO BP Finat sp. z o.o.	569
Saint-Gobain	568
Cursor S.A.	567
Omega Kancelarie Prawne	566
Justus	565
Randstad Polska (Oddział Łódź)	565
Mecalux Sp. z o.o.	564
Małpka S.A.	563
Devire	561
Kuehne,Nagel Sp. z o.o.	561
Empik sp. z o.o.	560
Praktiker Polska Sp. z o.o	558
Reed	558
YES Biżuteria	557
Arcese Polska Sp. z o.o.	556
Recruit Europe 	556
SANOFI	556
Estee Lauder (Poland) Sp. z o.o.	555
Berlin-Chemie\Menarini Polska Sp. z o.o.	554
UniKadr Biuro Doradztwa Personalnego	554
HS Transport sp. z.o.o.	553
Atos Polska	552
Lavard	552
Audiofon	551
Nowa Itaka Spółka z o.o.	551
DUHABEX Sp z o.o.	545
Hudson Global Resources	545
Capita (Polska) Sp. z o.o.	544
GSK SERVICES SP Z O O	544
Adore HR	543
medicine	543
Transgourmet Polska Sp. z o. o.	541
McCormick Shared Services	540
Reca Polska Sp. z o.o.	540
Dino Polska S.A.	539
MBE Poland Sp. z o.o.	539
KUBENZ SP Z O O	538
Mindbox S.A.	538
Work Service International Sp. z o.o. 	537
iView Recruitment Sp. z o. o.	537
Asistnet Work Group 	536
ArcelorMittal Poland S.A.	535
Triumph International Polska Sp. z o.o	535
Big Star	534
COSTA COFFEE POLSKA SA	534
Ciklum	534
MOTA-ENGIL CENTRAL EUROPE S.A.	532
Carlsberg Shared Services	531
TABAK POLSKA Sp. z o.o.	531
Tchibo Warszawa Sp. z o.o.	531
Grupa Ergo Hestia	529
NUTRICIA Polska Sp. z o.o.	529
SKAT Transport Sp. z o.o.	529
Simply Market	529
Media Impact Polska Sp. z o.o.	528
SMYK	528
ELBUD  Warszawa	527
Wawel SA	525
EDUN Korepetycje	524
LYRECO Polska SA	523
Automotive Assembly Systems Sp. z o.o.	522
Grupa DBK	520
BERNER POLSKA Sp. z o.o.	518
FBSERWIS S A	518
SM LOGISTIC Sp. z o.o.	518
Grupa Wirtualna Polska	517
KONE Sp. z o.o.	517
WABCO Polska	517
Zespół Sprzedażowy sp. z o.o.	516
Benefit Systems  S.A.	515
Kramel	514
Optima  SP. Z O.O.	514
Work Service 24 GmbH	514
Job Impulse Polska Sp. z o.o.	513
GEFCO Polska	512
Target PRO Sp. z o.o. Sp. k. 	512
MCFARLANE KYNN SP Z O O 	509
AmRest Sp.z o.o.	508
Objectivity Bespoke Software Specialists Sp. z o.o.	508
Polimex-Mostostal S.A.	507
mBank	506
Bank Pocztowy S.A.	505
ALSTAL Grupa Budowlana  Sp. z o.o. Sp.k.	504
Apteka Niezapominajka	504
Klimas Sp. z o.o.	504
Westwing.pl 	504
Work Service Express	504
LEK-AM Sp. z o.o.	503
PRIMA MODA S.A.	503
Polwell Sp. z o.o.	502
XPO Logistics	501
Citronex Trans Logistic Sp. z o.o.	500
Mostostal Warszawa S.A.	500
ZPUE S.A.	500
Naj International Sp. z o.o.	497
Bascon Pro Logistic	496
IGLOTEX	496
Porsche Inter Auto Polska Sp. z o.o.	496
ENERGA – OPERATOR SA	495
DACHSER Sp. z o.o. 	493
ENERGA - OBRÓT S.A.	493
Firma Testowa PD	492
ProofHQ	492
The Lorenz Bahlsen Snack-World Sp. z o.o.	492
Volkswagen Group Polska	491
Grupa Eurocash – Eurocash Gastronomia	490
Nordea Operations Centre	490
Stora Enso Poland S.A.	490
Axpo Polska Sp z o. o.	489
APC Instytut Sp. z o.o.	488
Boryszew S.A. oddział MAFLOW	487
AXA Życie Towarzystwo Ubezpieczeń S.A.	486
GUESS POLAND Sp. z o.o.	486
Raben Polska Sp. z o.o.	485
Deloitte	483
Grupa LEW S.A.	483
ING Usługi Finansowe S.A.	483
Alexander Mann Solutions	482
INTERSNACK POLAND 	482
Assiduus Investment Sp. z o.o.	481
BSH Sprzęt Gospodarstwa Domowego Sp. z o.o. 	481
Grupa ERGO Hestia	481
Imperial Tobacco Polska S.A.	480
PHOENIX CONTACT WIELKOPOLSKA Sp. z o.o.	480
Rabatem.pl	480
Eco dla Firm Sp. z o.o.	479
Grupa Eurocash - Eurocash Alkohole	478
ManpowerGroup Solutions III	476
Komfort Łazienki Sp. z o.o.	475
Marketing Investment Group	475
WDX S.A.	471
STENA Recycling Sp. z o.o.	469
Solar Company S.A.	468
The Royal Bank of Scotland PLC	467
Experts Sp. z o.o.	465
Fargotex Sp. z o.o.	464
Tenneco Automotive Eastern Europe Sp. z o.o. (Gliwice)	464
WYG HR Consulting Sp. z o.o. 	463
Coberon Chronos Group	462
Genpact PL	462
Auchan Polska - Centrala	461
ING Tech Poland (dawniej ING Services Polska)	461
Silvan Logistics Sp. z o.o. S.K.A.	460
GO-leasing Sp. z o.o.	459
OTP S.A.	459
Oriflame Poland Sp. z o. o.	459
VECTRA S.A.	458
ITI Neovision S.A.	457
Idea Money Spółka Akcyjna	457
OPERATOR GAZOCIĄGÓW PRZESYŁOWYCH GAZ-SYSTEM S.A.	457
BNY Mellon Poland	456
Fortum Sprzedaż sp. z o.o.	456
Moneygram	455
PAWO	455
Merck Sp. z o.o.	453
Performance Media Sp. z o.o.	452
360 Circus Sp. z o.o.	451
PÓŁNOC Nieruchomości Sp. z o.o	449
Samat Polska Sp. z o.o.	449
Urząd Dozoru Technicznego	449
Ferrero Polska Commercial Sp. z o.o.	448
Saint-Gobain 	448
Spedimex Sp. z o.o.	447
EUROTEL S. A.	446
IMS Health Technology Solutions Poland Sp. z o.o.	446
BP	444
Hewlett Packard Enterprise	444
DIVERSE	442
Kamsoft S.A 	442
Wincor Nixdorf Sp. z o.o.	442
Mercer (Polska) Sp. z o.o.	441
Transfer Multisort Elektronik Sp. z o.o.	441
ABB Sp. z o.o.	439
PAUL HARTMANN Polska Sp. z o.o.	439
Centrala Farmaceutyczna Hasco-Lek 	437
Generali Polska	437
Staples Polska Sp. z o.o.	437
CONSEA POLAND	436
ISS Facility Services Sp. z o.o.	436
SMT Software Services	436
TP TELTECH	436
Timac Agro Polska Sp. z o.o. 	436
Becton Dickinson	435
Ericpol Sp. z o.o.	435
Solaris Bus  Coach S.A.	435
SCHIBSTED TECH POLSKA 	434
Atos Global Delivery Center Polska	432
BREVIO Sp. z o.o.	432
DXC Technology	430
Experis IT Gdańsk	430
IMPULS-LEASING Polska Sp. z o.o.	430
Can-Pack SA	429
Pilkington	429
Reed Employment Limited Oddział w Polsce 	428
Distribev Orbico Sp. z o.o	427
Huuuge Games Sp. z o.o.	427
Aldesa Polska Services Sp. z o.o.	425
J.S. Hamilton Poland S.A.	424
Groupon	422
STRABAG Sp. z o.o.	422
Pawtrans Holding sp. z o.o. 	421
RW Swiss Automation Sp. z o.o.	421
Accenture Capability Network	420
Nordea Bank AB SA Oddział w Polsce Pion IT	420
ONWELO S.A.	420
CSS Corp Sp. z o.o.	419
DSV Road	419
Menard Polska Sp. z o.o. 	417
OTCF S.A. - właściciel marki 4F 	417
Sieć Aptek Dbam o Zdrowie DOZ S.A. 	417
Mondelēz International w Polsce	416
ELECTROLUX POLAND	415
AstraZeneca Pharma	414
Raiffeisen-Leasing Polska S.A.	414
Procter  Gamble	413
Kolporter spółka z ograniczoną odpowiedzialnością spółka komandytowa	412
RTB House	412
Link Group Sp. z o.o.	411
Natura Sp. z o.o.	411
VOSS Automotive Polska Sp. z o.o.	410
AmRest sp. z o.o.	409
SWISS	409
ATLAS Sp. z o.o.	408
Centralny Ośrodek Informatyki 	408
Polska Grupa Farmaceutyczna S.A.	408
Alshaya Poland Sp. z o.o.	407
Formel D Polska Sp. z o.o.	407
Agencja Ochrony JUSTUS	406
Mainfreight Poland Sp. zo.o.	406
Manpower Łódź - Dąbrowskiego II	405
AP UNIAPOL DEVELOPMENT Sp. z o.o.	404
De Heus Sp. z o.o.	404
Grupa PGD	403
Europejski Fundusz Leasingowy	402
QiBit	402
SPIE Polska sp. z o.o.	402
Teleperformance Polska	402
Stock Polska Sp. z o.o.	401
RE\MAX Polska	400
Human  Hunter	399
Rockwell Automation	399
Link4 Towarzystwo Ubezpieczeń S.A.	398
We Can Do HR Sp. z o.o.	398
Spedition Rosner Möbeltransporte Sp. z o.o.	396
VAN PUR S.A.	396
Bricoman Polska Sp. z o.o.  	395
Danwood S.A.	394
Jula Poland Sp. z o.o.	394
ZUE S.A.	394
Idea Expert SA	393
Danfoss	392
Orion Pharma Poland Sp. z o.o.	392
Diehl Controls Polska	391
Scania Polska S.A.	391
Wabco Polska	390
No Limit Sp. z o.o.	389
Oshee Polska Sp. z o.o. 	389
Asseco Data Systems SA	388
DNV GL POLAND	388
PWPW S.A.	388
PZU S.A.	388
Time Trend	388
Gegenbauer Polska Sp. z o.o.	387
McCormick Polska S.A.	387
CA Polska Sp. z o.o.	386
Call Center Inter Galactica Sp. z o.o.	386
Human Capital Consulting Sp. z o.o.	386
Centrum Medyczne ENEL-MED S.A. 	385
Polski Holding Inwestycyjny S.A.	385
Bombardier Transportation Polska Sp. z o.o.	384
COMMERCECON	384
nc,	384
GSK	382
IBSS BIOMED S.A.	382
LUQAM	382
CEL-R Sp. z o.o.	381
Experum HR	381
BREMBO POLAND Sp. z o.o.	380
Learning Systems Poland S.A.	380
PROFI-LINGUA Szkoła Języków Obcych	380
ABRA S.A.	379
Grupa Eurocash	379
Akzo Nobel	378
Atos IT Services Sp. z o.o.	378
Experis Engineering Toruń	378
Strefa Job (Job Impulse Polska)	378
POLOmarket Sp. z o.o.	377
Samsung Electronics Poland Manufacturing Sp. z o.o. 	377
BUDOKRUSZ Spółka Akcyjna	376
Millennium Leasing Sp. z o. o.	376
ORLEN Centrum Serwisowe Spółka z o. o.	376
Warbud S.A.	376
Bilfinger HSG Facility Management Sp. z o.o.	375
Grape Up  Sp. z o.o.	375
Nestlé Purina	375
innogy Polska S.A.	375
Atos	373
Thales	373
OKNOPLAST	372
H. ESSERS TRANSPORT COMPANY POLAND SP. Z O.O.	371
Axiom Global Sp. z o.o.	370
Apteka Dr.Max 	369
Gestamp Polska Sp. z o.o.	369
Kongsberg Automotive Sp. z o.o.	369
Ramirent S.A. 	369
Smart-HR 	369
GetResponse Sp. z o.o. 	368
Go Sport Polska Sp. z o.o. 	368
Kainos Software Poland Sp. z o. o	368
Stowarzyszenie WIOSNA	368
SAD Sp. z o.o.	367
VISTULA GROUP	367
arvato CRM Solutions	367
Getinge Group Shared Services sp. z o.o.	366
Arla Global Financial Services Centre Sp. z o.o.	365
Crossover Markets DMCC	365
ITMAGINATION Sp. z o.o.	364
Konica Minolta Business Solutions Polska	364
DOVISTA Polska	363
Philips Lighting Poland Sp. z o.o.	363
arvato Finance	363
APART Sp. z o.o.	362
BMZ Poland Sp. z o.o.	362
Gzella Net Sp. z o.o.	362
HEINEKEN Global Shared Services	362
LG Electronics Wrocław Sp. z o.o.	362
Sport-Premium Sp. z o.o.	362
Craftware Sp. z o.o.	361
EKO-OKNA S.A.	361
Manpower Brzeg – Mleczna 	361
Welcome Airport Services Sp. z o.o.	361
Ziko Apteka sp. z o.o.	360
Lions Bank	359
Apleona HSG Sp. z o.o.	358
Manpower Toruń - Warszawska	358
NDI	358
Netia S.A.	358
Bionorica Polska Sp. z o.o.	357
Camaieu Polska Sp. z o.o.	357
DS Smith Polska	357
Optima Logistics Group	357
Kimball Electronics	356
MURAPOL S.A.	356
360 Circus Polska Sp. z o.o. Sp. k.	355
Fabryki Mebli FORTESA	355
Grupa Żywiec S.A.	355
Horyzont Doradztwo Personalne Sp. z o.o.	355
Work  People Sp. z o.o.	355
PGE Systemy S.A.	354
Giacomo Conti	353
HEINEKEN KRAKÓW	353
Lindorff S.A.	353
LSJ HR GROUP 	352
TUZ Towarzystwo Ubezpieczeń Wzajemnych	352
Manpower Warszawa - Postępu	351
SGB-BANK S.A.	351
Teknika S.A.	351
Axxon Sp. z o.o.	350
EMTOR Sp. z o.o.	350
Josera Polska	350
SHIM-POL	350
7N Sp. z o.o.	349
Vitamed	349
ZORTRAX SA	349
Aegon Services	348
Bakalland S.A.	348
ArcelorMittal Distribution Solutions Poland Sp. z o.o.	346
BDO Sp. z o. o.	346
Hochland Polska Sp. z o.o.	346
IMPEL Business Solutions Sp. z o.o.	346
Voice Contact Center Sp. z o.o.	346
Grupa Żywiec	345
MGsolutions MGJJ Sp. z o. o. Sp. k. 	345
Whirlpool Corporation	345
Accenture Corporate Function	344
VULCAN sp. z o.o.	344
